Company,Symbol,Weight,      Price,,
Apple Inc.,AAPL,6.740331,   164.78,,
Microsoft Corporation,MSFT,5.971507,   296.92,,
Amazon.com Inc.,AMZN,3.741806,"   3,235.97",,
Alphabet Inc. Class A,GOOGL,2.170894,"   2,717.65",,
Alphabet Inc. Class C,GOOG,2.014968,"   2,727.10",,
Tesla Inc,TSLA,2.009517,   919.55,,
NVIDIA Corporation,NVDA,1.75338,   263.79,,
Berkshire Hathaway Inc. Class B,BRK.B,1.662589,   348.77,,
Meta Platforms Inc. Class A,FB,1.325373,   211.08,,
UnitedHealth Group Incorporated,UNH,1.263855,   507.07,,
Johnson & Johnson,JNJ,1.220351,   175.55,,
JPMorgan Chase & Co.,JPM,1.097733,   139.65,,
Visa Inc. Class A,V,0.963426,   216.89,,
Procter & Gamble Company,PG,0.954263,   149.63,,
Home Depot Inc.,HD,0.943367,   329.77,,
Exxon Mobil Corporation,XOM,0.883032,   82.10,,
Chevron Corporation,CVX,0.826584,   163.94,,
Pfizer Inc.,PFE,0.81119,   54.23,,
Bank of America Corp,BAC,0.808526,   42.99,,
Mastercard Incorporated Class A,MA,0.801096,   347.24,,
AbbVie Inc.,ABBV,0.746206,   159.29,,
Walt Disney Company,DIS,0.677239,   138.46,,
Broadcom Inc.,AVGO,0.668185,   595.70,,
Costco Wholesale Corporation,COST,0.659955,   555.50,,
Cisco Systems Inc.,CSCO,0.625869,   56.01,,
Coca-Cola Company,KO,0.619447,   60.30,,
Thermo Fisher Scientific Inc.,TMO,0.615445,   587.09,,
Eli Lilly and Company,LLY,0.605504,   289.49,,
PepsiCo Inc.,PEP,0.597105,   161.61,,
Abbott Laboratories,ABT,0.574079,   121.51,,
salesforce.com inc.,CRM,0.571401,   213.48,,
Adobe Inc.,ADBE,0.566951,   451.37,,
Verizon Communications Inc.,VZ,0.565416,   51.12,,
Comcast Corporation Class A,CMCSA,0.562638,   46.70,,
Walmart Inc.,WMT,0.545511,   144.45,,
Accenture Plc Class A,ACN,0.542818,   323.60,,
Merck & Co. Inc.,MRK,0.529807,   79.59,,
Wells Fargo & Company,WFC,0.529753,   51.51,,
Intel Corporation,INTC,0.512277,   47.60,,
Danaher Corporation,DHR,0.492974,   290.07,,
Advanced Micro Devices Inc.,AMD,0.491778,   114.58,,
McDonald's Corporation,MCD,0.473341,   235.46,,
Qualcomm Inc,QCOM,0.460127,   155.23,,
Netflix Inc.,NFLX,0.448,   373.67,,
NIKE Inc. Class B,NKE,0.444095,   128.92,,
Union Pacific Corporation,UNP,0.441265,   263.94,,
Texas Instruments Incorporated,TXN,0.440995,   179.81,,
AT&T Inc.,T,0.439625,   23.25,,
NextEra Energy Inc.,NEE,0.428507,   82.24,,
United Parcel Service Inc. Class B,UPS,0.424886,   218.14,,
Linde plc,LIN,0.423527,   309.56,,
Lowe's Companies Inc.,LOW,0.420978,   227.45,,
Bristol-Myers Squibb Company,BMY,0.410433,   70.92,,
Medtronic Plc,MDT,0.392376,   109.38,,
Philip Morris International Inc.,PM,0.386184,   94.13,,
Raytheon Technologies Corporation,RTX,0.386174,   100.25,,
S&P Global Inc.,SPGI,0.384452,   405.54,,
CVS Health Corporation,CVS,0.373622,   107.42,,
PayPal Holdings Inc.,PYPL,0.366858,   114.93,,
Intuit Inc.,INTU,0.360275,   469.08,,
Charles Schwab Corp,SCHW,0.358055,   89.35,,
Morgan Stanley,MS,0.356379,   93.26,,
Honeywell International Inc.,HON,0.354761,   193.07,,
Amgen Inc.,AMGN,0.352073,   235.49,,
ConocoPhillips,COP,0.343883,   102.82,,
Oracle Corporation,ORCL,0.341205,   80.87,,
Applied Materials Inc.,AMAT,0.318164,   133.60,,
Caterpillar Inc.,CAT,0.316214,   223.25,,
Prologis Inc.,PLD,0.31423,   158.54,,
American Express Company,AXP,0.311015,   190.29,,
Goldman Sachs Group Inc.,GS,0.310238,   341.01,,
Deere & Company,DE,0.308401,   419.80,,
ServiceNow Inc.,NOW,0.307495,   568.30,,
Anthem Inc.,ANTM,0.306965,   476.53,,
International Business Machines Corporation,IBM,0.306154,   128.03,,
Citigroup Inc.,C,0.301108,   57.07,,
American Tower Corporation,AMT,0.292837,   242.58,,
Target Corporation,TGT,0.287153,   222.52,,
Boeing Company,BA,0.2806,   185.75,,
BlackRock Inc.,BLK,0.278712,   734.68,,
General Electric Company,GE,0.278612,   95.07,,
Intuitive Surgical Inc.,ISRG,0.275166,   282.80,,
Lockheed Martin Corporation,LMT,0.273862,   440.26,,
Starbucks Corporation,SBUX,0.273262,   86.70,,
Altria Group Inc,MO,0.251091,   52.15,,
Zoetis Inc. Class A,ZTS,0.245276,   194.25,,
Chubb Limited,CB,0.241081,   212.00,,
Automatic Data Processing Inc.,ADP,0.239946,   212.08,,
Booking Holdings Inc.,BKNG,0.238015,"   2,155.35",,
Stryker Corporation,SYK,0.237976,   264.75,,
CME Group Inc. Class A,CME,0.237839,   249.81,,
Micron Technology Inc.,MU,0.235023,   77.61,,
Analog Devices Inc.,ADI,0.227659,   163.80,,
Mondelez International Inc. Class A,MDLZ,0.227115,   61.24,,
3M Company,MMM,0.224582,   148.08,,
Marsh & McLennan Companies Inc.,MMC,0.217258,   162.58,,
PNC Financial Services Group Inc.,PNC,0.215767,   193.25,,
Duke Energy Corporation,DUK,0.213485,   106.08,,
CSX Corporation,CSX,0.213096,   36.64,,
Truist Financial Corporation,TFC,0.206487,   58.91,,
Cigna Corporation,CI,0.206486,   245.15,,
Intercontinental Exchange Inc.,ICE,0.203647,   135.88,,
Lam Research Corporation,LRCX,0.202879,   533.96,,
U.S. Bancorp,USB,0.202403,   56.56,,
Crown Castle International Corp,CCI,0.199675,   175.13,,
Becton Dickinson and Company,BDX,0.198805,   267.66,,
T-Mobile US Inc.,TMUS,0.197977,   125.93,,
Gilead Sciences Inc.,GILD,0.197617,   59.87,,
TJX Companies Inc,TJX,0.197478,   61.38,,
Regeneron Pharmaceuticals Inc.,REGN,0.194088,   689.96,,
Southern Company,SO,0.191157,   68.99,,
Edwards Lifesciences Corporation,EW,0.186669,   111.23,,
Freeport-McMoRan Inc.,FCX,0.186507,   49.71,,
Charter Communications Inc. Class A,CHTR,0.182438,   568.81,,
Aon Plc Class A,AON,0.181323,   321.93,,
EOG Resources Inc.,EOG,0.179636,   121.84,,
Ford Motor Company,F,0.175827,   16.58,,
Equinix Inc.,EQIX,0.174811,   720.53,,
Norfolk Southern Corporation,NSC,0.174712,   276.93,,
Dominion Energy Inc,D,0.174531,   82.01,,
Progressive Corporation,PGR,0.171914,   111.31,,
General Motors Company,GM,0.171877,   43.76,,
Estee Lauder Companies Inc. Class A,EL,0.170614,   272.80,,
Vertex Pharmaceuticals Incorporated,VRTX,0.167553,   247.76,,
Moderna Inc.,MRNA,0.16703,   176.55,,
Northrop Grumman Corporation,NOC,0.166482,   441.43,,
Boston Scientific Corporation,BSX,0.166324,   44.24,,
HCA Healthcare Inc,HCA,0.165176,   261.28,,
Eaton Corp. Plc,ETN,0.163829,   154.80,,
Activision Blizzard Inc.,ATVI,0.16268,   78.48,,
Colgate-Palmolive Company,CL,0.160876,   73.21,,
Illinois Tool Works Inc.,ITW,0.160765,   212.51,,
Sherwin-Williams Company,SHW,0.160365,   245.53,,
Waste Management Inc.,WM,0.158504,   156.42,,
Fiserv Inc.,FISV,0.158397,   99.75,,
Newmont Corporation,NEM,0.156135,   76.12,,
Fidelity National Information Services Inc.,FIS,0.154399,   95.26,,
Emerson Electric Co.,EMR,0.153165,   98.02,,
Capital One Financial Corp,COF,0.15167,   136.09,,
Humana Inc.,HUM,0.149514,   438.68,,
Schlumberger NV,SLB,0.147827,   41.25,,
Public Storage,PSA,0.147206,   366.05,,
KLA Corporation,KLAC,0.146435,   355.04,,
Pioneer Natural Resources Company,PXD,0.14373,   250.36,,
Illumina Inc.,ILMN,0.143186,   343.66,,
Dollar General Corporation,DG,0.141703,   228.45,,
Moody's Corporation,MCO,0.141695,   326.15,,
FedEx Corporation,FDX,0.14155,   219.98,,
General Dynamics Corporation,GD,0.140388,   235.31,,
NXP Semiconductors NV,NXPI,0.135674,   189.90,,
Air Products and Chemicals Inc.,APD,0.135484,   234.25,,
Centene Corporation,CNC,0.135132,   87.08,,
American International Group Inc.,AIG,0.134078,   61.89,,
Sempra Energy,SRE,0.132324,   158.73,,
Occidental Petroleum Corporation,OXY,0.131787,   60.67,,
Roper Technologies Inc.,ROP,0.130487,   464.52,,
Synopsys Inc.,SNPS,0.12945,   313.82,,
L3Harris Technologies Inc,LHX,0.127972,   252.86,,
Cognizant Technology Solutions Corporation Class A,CTSH,0.127345,   91.52,,
MetLife Inc.,MET,0.127343,   69.08,,
American Electric Power Company Inc.,AEP,0.125616,   94.68,,
Archer-Daniels-Midland Company,ADM,0.124088,   86.73,,
Autodesk Inc.,ADSK,0.123975,   211.52,,
Marriott International Inc. Class A,MAR,0.123715,   169.16,,
Johnson Controls International plc,JCI,0.123443,   66.46,,
O'Reilly Automotive Inc.,ORLY,0.122997,   684.71,,
Dow Inc.,DOW,0.122082,   63.16,,
IDEXX Laboratories Inc.,IDXX,0.121916,   531.89,,
Amphenol Corporation Class A,APH,0.121266,   76.26,,
Marathon Petroleum Corporation,MPC,0.120229,   79.81,,
DexCom Inc.,DXCM,0.119594,   454.93,,
McKesson Corporation,MCK,0.118766,   299.44,,
Chipotle Mexican Grill Inc.,CMG,0.11764,"   1,541.62",,
Cadence Design Systems Inc.,CDNS,0.116131,   156.01,,
TE Connectivity Ltd.,TEL,0.115966,   132.50,,
Travelers Companies Inc.,TRV,0.115307,   182.09,,
Prudential Financial Inc.,PRU,0.115255,   115.90,,
IQVIA Holdings Inc,IQV,0.11522,   228.48,,
Fortinet Inc.,FTNT,0.114588,   310.81,,
Simon Property Group Inc.,SPG,0.113586,   130.34,,
Microchip Technology Incorporated,MCHP,0.113498,   76.53,,
MSCI Inc. Class A,MSCI,0.113292,   509.31,,
Ecolab Inc.,ECL,0.112509,   169.75,,
Hilton Worldwide Holdings Inc,HLT,0.111744,   149.54,,
Exelon Corporation,EXC,0.111717,   43.37,,
Agilent Technologies Inc.,A,0.111513,   138.34,,
Sysco Corporation,SYY,0.109761,   80.65,,
Carrier Global Corp.,CARR,0.109503,   47.59,,
Paychex Inc.,PAYX,0.108385,   125.74,,
Corteva Inc,CTVA,0.108328,   56.57,,
Kimberly-Clark Corporation,KMB,0.107513,   120.46,,
AutoZone Inc.,AZO,0.106836,"   1,933.65",,
HP Inc.,HPQ,0.106472,   37.62,,
Welltower Inc.,WELL,0.106181,   92.80,,
DuPont de Nemours Inc.,DD,0.105143,   76.61,,
Digital Realty Trust Inc.,DLR,0.104576,   138.04,,
Baxter International Inc.,BAX,0.104459,   79.01,,
Motorola Solutions Inc.,MSI,0.104268,   233.44,,
Bank of New York Mellon Corporation,BK,0.102586,   52.47,,
Global Payments Inc.,GPN,0.10192,   134.41,,
ResMed Inc.,RMD,0.101372,   257.14,,
Aflac Incorporated,AFL,0.101351,   63.42,,
Williams Companies Inc.,WMB,0.100966,   32.37,,
Kroger Co.,KR,0.100254,   55.99,,
Realty Income Corporation,O,0.10014,   67.28,,
General Mills Inc.,GIS,0.099941,   62.73,,
Trane Technologies plc,TT,0.099585,   157.76,,
Allstate Corporation,ALL,0.099318,   133.47,,
Parker-Hannifin Corporation,PH,0.099002,   289.39,,
Nucor Corporation,NUE,0.09819,   143.59,,
Constellation Brands Inc. Class A,STZ,0.098185,   225.54,,
Xcel Energy Inc.,XEL,0.097839,   69.26,,
Valero Energy Corporation,VLO,0.097662,   94.90,,
Phillips 66,PSX,0.097471,   80.84,,
Devon Energy Corporation,DVN,0.096912,   60.94,,
SBA Communications Corp. Class A,SBAC,0.095685,   328.59,,
Electronic Arts Inc.,EA,0.094933,   125.47,,
Yum! Brands Inc.,YUM,0.094572,   118.89,,
Cintas Corporation,CTAS,0.093596,   389.78,,
Dollar Tree Inc.,DLTR,0.09354,   155.36,,
eBay Inc.,EBAY,0.092757,   55.43,,
Arthur J. Gallagher & Co.,AJG,0.092501,   167.30,,
TransDigm Group Incorporated,TDG,0.092389,   651.82,,
AvalonBay Communities Inc.,AVB,0.090502,   246.47,,
Discover Financial Services,DFS,0.089812,   114.13,,
Walgreens Boots Alliance Inc,WBA,0.089805,   47.52,,
Kinder Morgan Inc Class P,KMI,0.089385,   18.06,,
Public Service Enterprise Group Inc,PEG,0.08922,   67.40,,
T. Rowe Price Group,TROW,0.089176,   145.51,,
Ameriprise Financial Inc.,AMP,0.089043,   299.52,,
Verisk Analytics Inc,VRSK,0.088732,   209.20,,
SVB Financial Group,SIVB,0.08832,   568.62,,
Ross Stores Inc.,ROST,0.088061,   91.87,,
Otis Worldwide Corporation,OTIS,0.087915,   77.86,,
Fastenal Company,FAST,0.087859,   57.49,,
